in:base,in:edge,out:elastic energy,img
6,11.26,0.885717,base6_edge11.26.png
6,7.85,0.793403,base6_edge7.85.png
6,5.32,0.94913,base6_edge5.32.png
6,5.37,0.942091,base6_edge5.37.png
6,7.72,0.794709,base6_edge7.72.png
6,7.76,0.794255,base6_edge7.76.png
6,14.16,1.090483,base6_edge14.16.png
6,14.35,1.106966,base6_edge14.35.png
6,15.5,1.21409,base6_edge15.5.png
6,15.55,1.219029,base6_edge15.55.png
6,15.32,1.196504,base6_edge15.32.png
6,8.22,0.792224,base6_edge8.22.png
6,8.08,0.792246,base6_edge8.08.png
6,6.06,0.8667,base6_edge6.06.png
6,6.01,0.87098,base6_edge6.01.png
6,5.83,0.887779,base6_edge5.83.png
6,5.5,0.924905,base6_edge5.5.png
6,5.46,0.930026,base6_edge5.46.png
6,5.41,0.936635,base6_edge5.41.png
6,5,1.000499,base6_edge5.png
6,5.05,0.991698,base6_edge5.05.png
6,5.92,0.8791,base6_edge5.92.png
6,6.61,0.829258,base6_edge6.61.png
8,6.61,0.874706,base8_edge6.61.png
8,7.12,0.825493,base8_edge7.12.png
5,7.12,0.709717,base5_edge7.12.png
5,7.77,0.664674,base5_edge7.77.png
4,7.77,0.851847,base4_edge7.77.png
4,6.93,0.910288,base4_edge6.93.png
4,7.13,0.893163,base4_edge7.13.png
5,7.13,0.708905,base5_edge7.13.png
5,7.18,0.704908,base5_edge7.18.png
5,7.35,0.692051,base5_edge7.35.png
5,7.52,0.680258,base5_edge7.52.png
5,7.86,0.659537,base5_edge7.86.png
6,7.86,0.793322,base6_edge7.86.png
6,7.47,0.79865,base6_edge7.47.png
6,7.68,0.79521,base6_edge7.68.png
5,7.68,0.670055,base5_edge7.68.png
5,8.02,0.650977,base5_edge8.02.png
5,8.36,0.635024,base5_edge8.36.png
5,8.67,0.622843,base5_edge8.67.png
4,8.67,0.820752,base4_edge8.67.png
4,8.41,0.827029,base4_edge8.41.png
5,8.41,0.632915,base5_edge8.41.png
5,8.58,0.626165,base5_edge8.58.png
5,8.75,0.620031,base5_edge8.75.png
5,8.92,0.614475,base5_edge8.92.png
5,9.09,0.609459,base5_edge9.09.png
6,9.09,0.802234,base6_edge9.09.png
6,8.92,0.799015,base6_edge8.92.png
6,8.94,0.799364,base6_edge8.94.png
5,8.94,0.613857,base5_edge8.94.png
5,9.03,0.61117,base5_edge9.03.png
5,9.2,0.606487,base5_edge9.2.png
5,9.29,0.604206,base5_edge9.29.png
5,9.37,0.602291,base5_edge9.37.png
5,9.44,0.600698,base5_edge9.44.png
5,9.53,0.598762,base5_edge9.53.png
5,9.7,0.595434,base5_edge9.7.png
5,9.85,0.59284,base5_edge9.85.png
5,10.02,0.590267,base5_edge10.02.png
5,10.19,0.588064,base5_edge10.19.png
5,10.35,0.586313,base5_edge10.35.png
5,10.51,0.584858,base5_edge10.51.png
5,10.68,0.583623,base5_edge10.68.png
5,10.84,0.582739,base5_edge10.84.png
5,10.99,0.582145,base5_edge10.99.png
5,11.15,0.581753,base5_edge11.15.png
5,11.3,0.581601,base5_edge11.3.png
5,11.44,0.581641,base5_edge11.44.png
5,11.33,0.581595,base5_edge11.33.png
5,11.37,0.5816,base5_edge11.37.png
5,11.32,0.581596,base5_edge11.32.png
5,11.34,0.581595,base5_edge11.34.png
5,11.35,0.581596,base5_edge11.35.png
